id,city_bank,name,routing_bank,reserve,code_country
1,FAYETTE,CITIZENS BANK,062204158,$572523747.47,US
2,GREENSBORO,PEOPLES BANK,062201533,$46597382.55,US
3,RICHMOND,BANK OF AMERICA,061112788,$228589798.60,US
4,COLDWATER,PEOPLES BANK,101104779,$763038603.36,US
5,ATLANTA,FEDERAL RESERVE BANK,051050339,$597281621.33,US
6,KANSAS CITY,CENTRAL BANK,101019521,$49514743.57,US
7,SEYMOUR,CITIZENS NATIONAL BANK,111302532,$422262367.74,US
8,LEXINGTON,CENTRAL BANK,042100146,$668562144.18,US
9,RICHMOND,BANK OF AMERICA,101001173,$326851610.79,US
10,SHELBYVILLE,FIRST COMMUNITY BANK,064103671,$623610303.81,US
11,KANSAS CITY,COMMERCE BANK,081500493,$280424553.06,US
12,PITTSBURGH,PNC BANK,056004720,$839702585.61,US
13,KANSAS CITY,COMMERCE BANK,107002846,$665202310.24,US
14,NAPERVILLE,BMO HARRIS BANK,071905040,$120368437.84,US
15,TAMPA,JPMORGAN CHASE,325070951,$316855073.30,US
16,PORTLAND,UMPQUA BANK,121140276,$938734412.93,US
17,YORK,CORNERSTONE BANK,304987298,$18136639.75,US
18,SYRACUSE,FIRST NATIONAL BANK,101103686,$708206365.35,US
19,MOUNT DORA,FIRST NATIONAL BANK,063104312,$772378123.03,US
20,ALBANY,KEY BANK,325170699,$236017583.33,US
21,BELLEVILLE,JPMORGAN CHASE,065400137,$70959045.68,US
22,DURHAM,SELF-HELP CREDIT UNION,253177476,$823369703.45,US
23,CHANUTE,BANK OF COMMERCE,101100692,$107142794.26,US
24,FRANKFORT,UNITED BANK & CAPITAL TRUST COMPANY,083901650,$653555124.19,US
25,LANDER,CENTRAL BANK,102302680,$115236126.92,US
26,SUGAR LAND,PROSPERITY BANK,111901454,$114570292.79,US
27,GROVE CITY,FIRST STATE BANK,091905813,$99561222.97,US
28,WORLAND,PINNACLE BANK,102301513,$474048305.22,US
29,WILSON,BRANCH BANKING & TRUST COMPANY,031310413,$878751983.21,US
30,RUTHER GLEN,UNION BANK & TRUST,051402071,$748260319.79,US
31,CULEBRA,BANCO POPULAR,021502105,$784375408.93,US
32,MIAMI,CITY NATIONAL BANK,066004367,$524803675.84,US
33,LAKEWOOD,COLUMBIA STATE BANK,123203218,$544250875.57,US
34,BIRMINGHAM,COMPASS BANK,062202134,$474354049.84,US
35,RICHMOND,BANK OF AMERICA,031202084,$410058911.01,US
36,LAWTON,CITY NATIONAL BANK,103100739,$677742839.64,US
37,JUNCTION,FIRST STATE BANK,114922430,$377212757.00,US
38,SAN DIEGO,MUFG UNION BANK,125107260,$555693425.15,US
39,GREAT BEND,COMMUNITY BANK,101107860,$663103714.59,US
40,CHAMPAIGN,BUSEY BANK,271170264,$210781441.83,US
41,HARVEY,FIRST STATE BANK,091308164,$916384882.87,US
42,RICHMOND,BANK OF AMERICA,081500875,$113818548.78,US
43,RICHMOND,CAPITAL ONE,065002548,$699230119.65,US
44,WHEELING,WESBANCO BANK INC,043400036,$958486771.12,US
45,HORDVILLE,FIRST STATE BANK,104907562,$156471637.38,US
46,DETROIT,COMERICA BANK,072404485,$673917874.41,US
47,FORREST,FIRST STATE BANK,071121808,$68862601.55,US
48,CINCINNATI,FIFTH THIRD BANK,242071758,$215565439.55,US
49,NAPERVILLE,BMO HARRIS BANK,075905431,$650786387.87,US
50,N CHAS,SOUTH STATE BANK,061120961,$631193387.34,US
51,RICHMOND,CAPITAL ONE,111904451,$881299163.03,US
52,HENDERSON,CITIZENS NATIONAL BANK,111904338,$322259151.65,US
53,LEE'S SUMMIT,CENTRAL BANK,101005360,$359367014.56,US
54,PINE BLUFF,SIMMONS FIRST NATIONAL BANK,082900937,$147948459.45,US
55,EVEREST,UNION STATE BANK,101215451,$634319240.62,US
56,READING,SANTANDER BANK,211371191,$966803018.12,US
57,HELENA,GLACIER BANK,092001512,$399612397.01,US
58,CHARLESTON,UNITED BANK,043316942,$331416146.01,US
59,ST. PAUL,US BANK,102000021,$282462916.10,US
60,CINCINNATI,FIFTH THIRD BANK,042000314,$212138906.99,US
61,COLUMBUS,HUNTINGTON NATIONAL BANK,072403473,$633767572.32,US
